Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.038,,-37.18,85.04,636.14,-3.63,28.83,167.41,0.00,322.00,572.00,52.00
0.108,,-36.24,85.08,638.64,-4.01,29.83,167.43,0.00,322.00,572.00,52.00
0.182,,-36.85,84.44,642.87,-4.19,28.35,166.59,0.00,322.00,572.00,52.00
0.231,,-37.10,82.99,643.77,-4.25,29.05,167.56,0.00,322.00,572.00,52.00
0.283,,-36.57,82.63,648.83,-4.10,28.44,167.60,0.00,322.00,572.00,52.00
0.331,,-35.61,83.06,647.69,-4.59,28.19,166.15,0.00,322.00,572.00,52.00
0.384,,-34.26,82.96,648.45,-4.10,28.27,167.04,0.00,322.00,572.00,52.00
0.432,,-32.29,82.00,651.28,-4.18,27.58,166.98,0.00,322.00,572.00,52.00
0.485,,-31.41,82.06,651.68,-4.07,27.19,167.53,0.00,322.00,572.00,52.00
0.538,,-28.68,82.35,653.44,-3.30,27.32,167.16,0.00,322.00,572.00,52.00
0.605,,-28.34,82.47,657.71,-2.62,26.30,166.63,0.00,322.00,572.00,52.00
0.663,,-33.04,79.44,655.09,-3.61,25.18,166.27,0.00,322.00,572.00,52.00
0.729,,-43.84,79.04,653.50,-5.02,28.74,167.03,0.00,322.00,572.00,52.00
0.794,,-49.77,79.49,656.09,-4.70,28.30,167.16,0.00,322.00,572.00,52.00
0.844,,-54.55,80.56,658.76,-4.96,27.86,167.04,0.00,322.00,572.00,52.00
0.897,,-57.44,81.29,660.45,-5.38,28.62,166.20,0.00,322.00,572.00,52.00
0.957,,-69.94,81.43,670.87,-5.27,27.94,166.39,0.00,322.00,572.00,52.00
1.008,,-76.76,81.50,676.16,-5.23,27.56,166.42,0.00,322.00,572.00,52.00
1.060,,-82.92,82.26,680.38,-5.10,26.54,165.54,0.00,322.00,572.00,52.00
1.108,,-91.35,83.47,680.89,-5.77,26.94,166.03,0.00,322.00,572.00,52.00
1.162,,-99.42,85.17,684.55,-6.18,27.01,166.75,0.00,322.00,572.00,52.00
1.212,,-105.35,86.46,684.15,-5.90,28.30,166.93,0.00,322.00,572.00,52.00
1.278,,-110.10,88.52,692.55,-6.15,27.85,166.46,0.00,322.00,572.00,52.00
1.331,,-113.59,88.84,691.45,-5.99,26.90,165.71,0.00,322.00,572.00,52.00
1.385,,-114.26,89.87,690.08,-5.92,27.78,166.92,0.00,322.00,572.00,52.00
1.432,,-115.03,90.10,690.14,-6.31,29.66,167.23,0.00,322.00,572.00,52.00
1.484,,-114.62,90.67,696.24,-6.16,28.77,167.56,0.00,322.00,572.00,52.00
1.532,,-111.92,91.01,698.41,-5.72,28.03,166.38,0.00,322.00,572.00,52.00
1.584,,-109.07,91.26,694.81,-5.51,28.20,165.51,0.00,322.00,572.00,52.00
1.633,,-109.55,91.99,697.88,-5.20,27.93,165.89,0.00,322.00,572.00,52.00
1.684,,-110.37,95.03,693.05,-5.72,29.84,166.50,0.00,322.00,572.00,52.00
1.733,,-111.20,96.55,696.89,-5.13,27.87,167.64,0.00,322.00,572.00,52.00
1.785,,-110.33,97.03,693.39,-5.61,28.67,167.49,0.00,322.00,572.00,52.00
1.833,,-107.44,97.90,691.37,-4.88,29.14,167.95,0.00,322.00,572.00,52.00
1.885,,-106.15,97.86,693.57,-5.06,28.63,167.07,0.00,322.00,572.00,52.00
1.942,,-102.54,96.95,691.17,-4.70,28.37,167.52,0.00,322.00,572.00,52.00
2.001,,-99.17,98.38,697.05,-3.48,27.79,168.00,0.00,322.00,572.00,52.00
2.048,,-96.55,97.78,693.77,-3.84,28.32,167.53,0.00,322.00,572.00,52.00
2.100,,-95.98,97.10,693.60,-4.31,27.91,167.03,0.00,322.00,572.00,52.00
2.149,,-98.55,97.87,702.86,-3.81,26.77,167.49,0.00,322.00,572.00,52.00
2.200,,-100.20,97.80,703.68,-4.46,27.34,168.31,0.00,322.00,572.00,52.00
2.250,,-102.44,98.26,711.05,-4.50,25.95,166.48,0.00,322.00,572.00,52.00
2.301,,-102.15,97.33,708.26,-4.31,26.73,166.66,0.00,322.00,572.00,52.00
2.349,,-105.59,97.71,719.11,-4.65,25.72,165.27,0.00,322.00,572.00,52.00
2.400,,-109.40,96.38,722.95,-4.28,25.55,166.34,0.00,322.00,572.00,52.00
2.448,,-112.68,95.98,728.28,-5.23,24.59,165.31,0.00,322.00,572.00,52.00
2.498,,-115.79,94.76,726.33,-5.35,27.22,166.14,0.00,322.00,572.00,52.00
2.544,,-120.67,95.41,735.43,-5.74,27.69,165.67,0.00,322.00,572.00,52.00
2.596,,-121.47,95.76,738.93,-5.37,27.40,166.17,0.00,322.00,572.00,52.00
2.644,,-121.15,95.61,743.40,-5.04,29.20,164.25,0.00,322.00,572.00,52.00
2.696,,-124.41,97.07,759.26,-4.91,26.68,163.42,0.00,322.00,572.00,52.00
2.743,,-127.52,97.41,767.32,-4.97,27.09,163.90,0.00,322.00,572.00,52.00
2.793,,-129.20,97.90,770.17,-5.37,27.59,163.45,0.00,322.00,572.00,52.00
2.840,,-130.00,96.85,763.51,-5.61,28.93,163.66,0.00,322.00,572.00,52.00
2.894,,-132.08,97.88,768.67,-5.23,28.43,164.91,0.00,322.00,572.00,52.00
2.945,,-133.82,99.93,772.41,-4.99,28.46,164.86,0.00,322.00,572.00,52.00
3.001,,-136.57,102.59,782.61,-5.32,28.31,164.24,0.00,322.00,572.00,52.00
3.051,,-134.64,102.58,779.84,-5.08,28.69,164.73,0.00,322.00,572.00,52.00
3.107,,-133.61,103.26,782.41,-4.78,28.60,164.19,0.00,322.00,572.00,52.00
3.156,,-133.32,104.65,789.40,-4.06,28.15,164.16,0.00,322.00,572.00,52.00
3.209,,-133.98,105.88,794.02,-5.04,28.03,163.91,0.00,322.00,572.00,52.00
3.258,,-135.27,106.43,794.28,-5.20,28.81,163.96,0.00,322.00,572.00,52.00
3.311,,-138.39,107.75,799.30,-5.10,30.02,164.54,0.00,322.00,572.00,52.00
3.360,,-144.12,109.93,810.44,-6.07,29.56,163.80,0.00,322.00,572.00,52.00
3.414,,-145.30,109.62,807.06,-5.94,30.65,164.39,0.00,322.00,572.00,52.00
3.462,,-148.40,111.74,817.90,-6.20,30.08,163.34,0.00,322.00,572.00,52.00
3.519,,-148.38,111.62,814.19,-6.84,31.58,163.38,0.00,322.00,572.00,52.00
3.569,,-149.78,111.68,819.15,-7.08,31.09,163.72,0.00,322.00,572.00,52.00
3.624,,-150.59,112.45,831.56,-7.13,29.71,163.57,0.00,322.00,572.00,52.00
3.677,,-147.39,112.46,831.88,-6.60,30.48,164.06,0.00,322.00,572.00,52.00
3.730,,-144.88,112.15,834.76,-6.82,29.92,163.02,0.00,322.00,572.00,52.00
3.780,,-144.15,113.48,845.89,-6.83,28.23,162.25,0.00,322.00,572.00,52.00
3.836,,-145.39,113.88,854.79,-6.86,28.46,162.23,0.00,322.00,572.00,52.00
3.888,,-145.21,113.62,853.70,-6.71,29.54,163.81,0.00,322.00,572.00,52.00
3.941,,-147.54,114.03,862.72,-6.73,29.71,163.81,0.00,322.00,572.00,52.00
3.989,,-147.93,113.17,867.51,-6.35,29.90,163.95,0.00,322.00,572.00,52.00
4.048,,-151.24,114.31,881.39,-5.88,29.27,163.89,0.00,322.00,572.00,52.00
4.107,,-153.66,112.88,882.72,-5.41,31.09,165.19,0.00,322.00,572.00,52.00
4.160,,-156.14,111.70,890.72,-5.93,30.35,164.18,0.00,322.00,572.00,52.00
4.208,,-160.42,111.57,904.08,-5.33,29.28,163.70,0.00,322.00,572.00,52.00
4.260,,-165.06,111.45,899.21,-5.79,29.78,163.81,0.00,322.00,572.00,52.00
4.307,,-171.61,112.17,905.52,-6.21,29.88,164.26,0.00,322.00,572.00,52.00
4.359,,-175.54,113.73,915.65,-6.27,30.01,164.20,0.00,322.00,572.00,52.00
4.406,,-177.39,114.72,920.07,-5.76,29.23,164.18,0.00,322.00,572.00,52.00
4.458,,-182.14,117.14,939.47,-5.99,26.02,163.15,0.00,322.00,572.00,52.00
4.505,,-180.93,115.30,925.61,-6.14,29.11,164.11,0.00,322.00,572.00,52.00
4.559,,-185.96,118.31,937.76,-6.03,28.07,164.93,0.00,322.00,572.00,52.00
4.607,,-186.87,120.74,938.49,-6.00,27.45,165.32,0.00,322.00,572.00,52.00
4.657,,-189.28,122.29,944.60,-6.50,27.93,165.74,0.00,322.00,572.00,52.00
4.706,,-192.79,123.39,949.46,-5.99,26.99,165.72,0.00,322.00,572.00,52.00
4.757,,-193.98,122.71,948.72,-6.05,27.50,165.29,0.00,322.00,572.00,52.00
4.807,,-195.78,124.33,961.28,-5.99,27.13,165.74,0.00,322.00,572.00,52.00
4.858,,-195.48,125.05,965.77,-6.34,26.82,165.08,0.00,322.00,572.00,52.00
4.907,,-191.78,124.43,960.15,-5.21,26.98,165.19,0.00,322.00,572.00,52.00
4.959,,-189.39,124.41,960.23,-5.23,27.11,165.16,0.00,322.00,572.00,52.00
5.007,,-189.72,124.78,966.59,-5.53,26.65,165.60,0.00,322.00,572.00,52.00
5.059,,-189.72,124.58,967.36,-4.86,27.25,166.26,0.00,322.00,572.00,52.00
5.106,,-188.52,125.37,966.64,-5.56,26.70,165.55,0.00,322.00,572.00,52.00
5.155,,-188.55,126.74,971.48,-5.15,26.42,164.93,0.00,322.00,572.00,52.00
5.203,,-189.87,129.25,983.80,-4.93,24.97,165.27,0.00,322.00,572.00,52.00
5.254,,-189.01,128.79,985.00,-5.02,25.50,165.87,0.00,322.00,572.00,52.00
5.303,,-187.77,128.17,985.04,-5.01,25.57,165.89,0.00,322.00,572.00,52.00
5.353,,-187.41,128.29,989.69,-5.33,25.24,165.21,0.00,322.00,572.00,52.00
5.403,,-184.77,129.20,992.19,-4.57,25.27,166.39,0.00,322.00,572.00,52.00
5.454,,-184.88,130.05,995.30,-4.07,24.54,165.14,0.00,322.00,572.00,52.00
5.502,,-183.47,129.33,990.99,-3.94,26.10,165.89,0.00,322.00,572.00,52.00
5.554,,-184.91,129.46,995.47,-5.01,25.65,165.18,0.00,322.00,572.00,52.00
5.604,,-185.24,128.67,996.46,-3.52,26.30,166.03,0.00,322.00,572.00,52.00
5.655,,-186.52,128.57,1001.70,-4.60,25.77,165.27,0.00,322.00,572.00,52.00
5.703,,-186.87,129.21,1001.85,-3.83,25.79,165.34,0.00,322.00,572.00,52.00
5.755,,-187.16,129.53,995.78,-5.18,26.66,165.29,0.00,322.00,572.00,52.00
5.804,,-187.31,129.15,991.56,-4.85,26.90,165.92,0.00,322.00,572.00,52.00
5.857,,-189.96,128.89,991.65,-4.73,26.24,166.54,0.00,322.00,572.00,52.00
5.907,,-192.87,130.14,1003.60,-4.57,25.31,166.45,0.00,322.00,572.00,52.00
5.962,,-189.04,128.01,986.02,-4.48,27.25,166.70,0.00,322.00,572.00,52.00
6.011,,-190.01,129.70,996.80,-4.29,25.93,165.93,0.00,322.00,572.00,52.00
6.061,,-187.37,128.59,983.68,-3.77,27.57,165.64,0.00,322.00,572.00,52.00
